Distance_(pixels),Gray_Value
0,6724.500
1,6777.000
2,6803.000
3,6802.250
4,6789.750
5,6786.000
6,6755.250
7,6707.250
8,6699.000
9,6683.500
10,6633.000
11,6603.750
12,6606.750
13,6599.750
14,6601.500
15,6583.500
16,6554.750
17,6518.000
18,6465.750
19,6462.000
20,6475.000
21,6477.250
22,6552.500
23,6644.250
24,6649.000
25,6627.000
26,6651.750
27,6667.250
28,6657.250
29,6639.500
30,6618.500
31,6580.000
32,6547.750
33,6543.750
34,6504.750
35,6325.000
36,5993.750
37,5833.250
38,6036.000
39,6336.500
40,6445.250
41,6396.750
42,6138.750
43,5942.750
44,6111.000
45,6324.500
46,6365.000
47,6389.750
48,6455.750
49,6503.250
50,6512.750
51,6494.750
52,6440.000
53,6395.750
54,6336.750
55,6132.000
56,5681.750
57,5294.750
58,5402.000
59,5608.000
60,5573.000
61,5564.000
62,5707.500
63,5914.750
64,6108.500
65,6067.500
66,5850.000
67,5918.000
68,6154.750
69,6316.250
70,6294.250
71,6261.250
72,6334.000
73,6383.250
74,6358.750
75,6222.000
76,5995.500
77,5676.750
78,5214.750
79,4850.500
80,4825.750
81,5197.500
82,5618.500
83,5900.000
84,6036.750
85,6087.250
86,6099.250
87,6054.750
88,6089.250
89,6188.500
90,6281.250
91,6312.750
92,6307.500
93,6322.250
94,6322.750
95,6303.750
96,6306.250
97,6333.250
98,6310.000
99,6266.500
100,6134.500
101,5769.750
102,5587.250
103,5845.750
104,6133.500
105,6202.750
106,6105.000
107,5716.250
108,5319.250
109,5436.000
110,5780.500
111,5924.500
112,5927.750
113,5907.000
114,5881.250
115,5951.000
116,6046.750
117,6110.750
118,6163.500
119,6186.000
120,6198.250
121,6194.250
122,6176.250
123,6086.750
124,5836.750
125,5574.250
126,5400.250
127,5424.750
128,5596.000
129,5652.750
130,5407.500
131,5264.500
132,5547.750
133,5914.750
134,6096.000
135,6179.500
136,6262.000
137,6277.750
138,6306.500
139,6320.750
140,6278.250
141,6239.000
142,6192.250
143,6030.500
144,5651.000
145,5269.250
146,5368.000
147,5656.750
148,5568.000
149,5111.000
150,4510.500
151,4161.000
152,4358.500
153,4923.000
