Distance_(pixels),Gray_Value
0,9945.167
1,10089.167
2,10276.667
3,10313.333
4,10284.833
5,10260.000
6,10243.333
7,10214.167
8,10184.167
9,10176.500
10,10161.167
11,10143.667
12,10107.333
13,10117.000
14,10118.333
15,10100.500
16,10100.500
17,10089.500
18,10071.333
19,10057.500
20,10084.833
21,10152.667
22,10245.000
23,10291.333
24,10339.667
25,10413.167
26,10440.167
27,10459.500
28,10435.500
29,10393.000
30,10375.000
31,10313.167
32,10237.667
33,10142.667
34,10035.333
35,9832.833
36,9605.500
37,9453.667
38,9478.000
39,9665.667
40,9781.833
41,9750.667
42,9578.500
43,9450.833
44,9512.833
45,9620.667
46,9745.167
47,9863.000
48,9915.167
49,9933.833
50,9914.667
51,9859.833
52,9795.333
53,9700.833
54,9503.333
55,9164.333
56,8708.000
57,8356.500
58,8258.167
59,8302.500
60,8373.500
61,8458.333
62,8611.000
63,8817.167
64,8988.667
65,9055.667
66,9030.500
67,9118.333
68,9320.667
69,9499.667
70,9598.500
71,9673.000
72,9727.833
73,9757.833
74,9690.000
75,9500.667
76,9195.333
77,8765.500
78,8261.500
79,7942.833
80,7972.167
81,8320.500
82,8829.167
83,9252.667
84,9501.000
85,9660.500
86,9770.833
87,9837.333
88,9913.000
89,10020.500
90,10140.000
91,10234.000
92,10252.667
93,10287.667
94,10317.500
95,10309.333
96,10293.000
97,10266.833
98,10185.667
99,10058.167
100,9820.500
101,9500.333
102,9376.500
103,9471.000
104,9715.000
105,9847.167
106,9679.667
107,9350.333
108,9093.667
109,9065.667
110,9259.167
111,9525.167
112,9635.667
113,9639.167
114,9643.167
115,9707.833
116,9790.500
117,9874.667
118,9972.500
119,10012.833
120,10017.833
121,10021.500
122,9979.833
123,9832.000
124,9568.333
125,9213.333
126,8934.000
127,8836.833
128,8847.000
129,8864.833
130,8822.167
131,8849.000
132,9075.500
133,9439.000
134,9786.833
135,10023.500
136,10152.667
137,10234.833
138,10291.667
139,10295.333
140,10247.500
141,10183.000
142,9982.500
143,9660.167
144,9262.333
145,8950.000
146,8889.167
147,8949.500
148,8868.000
149,8452.000
150,7819.000
151,7341.833
152,7326.833
153,7766.333
154,8431.500
155,9062.833
156,9522.500
157,9770.500
158,9912.500
159,9978.000
160,10009.167
161,9994.667
162,9961.500
163,9939.667
164,9857.333
165,9684.500
166,9436.667
167,9167.000
168,9071.500
169,9180.167
170,9407.667
171,9549.000
172,9554.333
173,9516.333
174,9480.333
175,9451.833
176,9450.167
177,9421.000
178,9370.500
179,9301.667
180,9213.167
181,9159.500
182,9126.500
183,9134.667
184,9147.167
185,9181.333
186,9166.167
187,9055.833
188,8913.000
189,8717.833
190,8623.500
191,8728.167
192,8982.500
193,9245.500
194,9400.667
195,9503.500
196,9567.167
197,9578.333
198,9591.500
199,9642.000
200,9634.833
201,9621.833
202,9612.000
203,9523.000
204,9415.000
205,9333.167
206,9200.833
207,9093.667
208,9046.833
209,8978.167
210,8857.667
211,8703.833
212,8620.667
213,8672.167
214,8873.500
215,9171.500
216,9442.500
217,9711.833
218,9927.333
219,10036.667
220,10077.667
221,10057.500
222,10045.833
223,10068.167
224,10117.833
225,10173.000
226,10195.167
227,10256.167
228,10303.500
229,10310.833
230,10324.500
231,10299.500
232,10261.833
233,10255.667
234,10274.000
235,10291.833
236,10298.333
237,10320.667
238,10282.833
239,10239.833
240,10156.667
241,10006.167
242,9866.667
243,9835.167
244,9947.167
245,10133.833
246,10299.167
247,10393.667
248,10424.000
249,10431.167
250,10466.833
251,10463.000
252,10430.667
253,10414.833
254,10394.167
255,10380.333
256,10354.667
257,10313.000
258,10280.167
259,10291.167
260,10300.000
261,10275.167
262,10239.500
263,10205.167
264,10248.000
265,10310.333
266,10396.167
267,10480.500
268,10503.833
269,10519.500
270,10530.000
271,10499.167
272,10503.667
273,10556.667
274,10545.000
275,10532.000
276,10538.833
277,10517.833
278,10482.167
279,10406.833
280,10303.833
281,10200.500
282,10153.667
283,10208.000
284,10311.167
285,10417.500
286,10531.333
287,10609.500
288,10637.000
289,10634.333
290,10642.667
291,10678.500
292,10704.000
293,10689.833
294,10683.167
295,10696.667
296,10697.833
297,10637.500
298,10515.667
299,10387.333
300,10298.667
301,10317.333
302,10439.000
303,10558.667
304,10586.000
305,10546.000
306,10426.000
307,10226.500
308,9975.333
309,9794.833
310,9815.500
311,10026.000
312,10271.500
313,10500.667
314,10667.000
315,10745.000
316,10763.167
317,10765.833
318,10784.500
319,10771.167
320,10772.333
321,10791.333
322,10791.500
323,10769.000
324,10760.500
325,10738.167
326,10705.333
327,10675.333
328,10642.000
329,10627.167
330,10590.667
331,10550.500
332,10529.667
333,10514.000
334,10516.167
335,10506.667
336,10494.000
337,10494.500
338,10481.500
339,10499.500
340,10524.333
341,10556.500
342,10597.000
343,10672.500
344,10759.667
345,10812.333
346,10842.167
347,10853.000
348,10813.667
349,10792.833
350,10824.333
351,10833.167
352,10888.667
353,10927.500
354,10849.667
355,10720.000
356,10699.000
357,10763.833
358,10856.833
359,11007.667
360,11110.333
361,11099.167
362,11059.000
363,11070.167
364,11100.167
365,11136.833
366,11173.333
367,11212.500
368,11253.167
369,11222.667
370,11148.167
371,11115.333
372,11108.333
373,11146.500
374,11247.667
375,11303.667
376,11354.000
377,11383.833
378,11365.667
379,11375.167
380,11365.333
381,11326.333
382,11332.000
383,11368.500
384,11307.667
385,11225.500
386,11177.167
387,11156.667
388,11191.833
389,11244.333
390,11325.833
391,11407.667
392,11441.167
393,11409.500
394,11371.833
395,11379.667
396,11359.167
397,11349.167
398,11399.333
399,11401.500
400,11296.667
401,11144.667
402,10959.000
403,10836.000
404,10819.500
405,10886.833
406,11099.000
407,11276.167
408,11337.833
409,11347.333
410,11333.500
411,11303.667
412,11306.333
413,11329.333
414,11303.167
415,11269.333
416,11266.000
417,11287.167
418,11240.833
419,11210.000
420,11217.333
421,11198.500
422,11177.333
423,11065.333
424,10844.667
425,10592.667
426,10363.500
427,10311.333
428,10402.500
429,10589.000
430,10826.000
431,10942.333
432,10944.000
433,10875.167
434,10804.667
435,10752.167
436,10702.500
437,10719.667
438,10785.500
439,10798.500
440,10763.167
441,10745.000
442,10646.167
443,10444.667
444,10136.167
445,9664.833
446,9124.167
447,8631.833
448,8377.333
449,8505.000
450,8939.333
451,9547.333
452,10143.667
453,10576.833
454,10861.000
455,11059.000
456,11185.333
457,11278.833
458,11308.333
459,11319.167
460,11354.333
461,11391.833
462,11409.000
463,11408.500
464,11409.500
465,11410.167
466,11420.667
467,11401.500
468,11372.500
469,11370.000
470,11356.000
471,11365.333
472,11347.167
473,11355.667
474,11354.833
475,11300.000
476,11267.000
477,11238.667
478,11164.500
479,11008.500
480,10743.167
481,10440.167
482,10261.667
483,10299.333
484,10452.833
485,10701.833
486,10957.333
487,11089.500
488,11143.167
489,11167.500
490,11183.500
491,11164.000
492,11125.000
493,11048.500
494,10947.333
495,10895.500
496,10907.167
497,10958.667
498,10959.500
499,10900.500
500,10816.500
501,10690.000
502,10485.167
503,10230.500
504,9900.333
505,9735.667
506,9856.667
