Distance_(pixels),Gray_Value
0,8505.600
1,8567.400
2,8674.600
3,8704.300
4,8687.800
5,8655.100
6,8597.000
7,8544.900
8,8490.800
9,8451.600
10,8422.400
11,8379.900
12,8341.500
13,8325.900
14,8308.300
15,8282.400
16,8258.400
17,8246.300
18,8217.500
19,8179.000
20,8184.000
21,8214.400
22,8256.100
23,8309.300
24,8340.200
25,8397.500
26,8431.500
27,8443.400
28,8440.100
29,8426.000
30,8394.200
31,8365.000
32,8316.300
33,8232.600
34,8125.900
35,7992.600
36,7841.200
37,7773.100
38,7843.400
39,7966.000
40,8072.300
41,8080.200
42,8002.200
43,7982.800
44,8023.400
45,8155.300
46,8326.700
47,8420.300
48,8498.500
49,8543.800
50,8550.100
51,8544.100
52,8508.700
53,8429.000
54,8281.400
55,8032.900
56,7693.900
57,7412.400
58,7276.600
59,7267.400
60,7339.100
61,7428.200
62,7558.800
63,7711.000
64,7835.200
65,7902.900
66,7913.400
67,7954.300
68,8059.900
69,8160.100
70,8252.100
71,8303.200
72,8300.600
73,8299.700
74,8221.000
75,8032.100
76,7747.500
77,7402.800
78,7057.600
79,6815.000
80,6813.000
81,7025.700
82,7367.600
83,7679.400
84,7886.000
85,8000.300
86,8067.200
87,8103.100
88,8163.900
89,8270.900
90,8356.100
91,8430.800
92,8478.600
93,8479.300
94,8470.600
95,8475.100
96,8487.900
97,8481.300
98,8413.300
99,8298.900
100,8133.400
101,7927.800
102,7803.900
103,7878.500
104,8055.700
105,8171.100
106,8100.300
107,7861.800
108,7660.800
109,7630.900
110,7783.700
111,8008.400
112,8132.000
113,8165.600
114,8174.500
115,8203.300
116,8250.600
117,8326.800
118,8421.100
119,8502.200
120,8551.800
121,8535.100
122,8510.100
123,8423.000
124,8220.800
125,7962.200
126,7689.200
127,7534.000
128,7467.000
129,7448.500
130,7432.700
131,7468.100
132,7616.400
133,7873.300
134,8166.800
135,8357.000
136,8460.700
137,8499.900
138,8525.400
139,8528.400
140,8483.100
141,8406.200
