Distance_(pixels),Gray_Value
0,9548.429
1,9663.143
2,9826.143
3,9886.571
4,9889.714
5,9851.143
6,9780.857
7,9737.143
8,9685.714
9,9607.143
10,9565.571
11,9528.714
12,9444.857
13,9410.571
14,9431.000
15,9410.429
16,9353.143
17,9278.857
18,9251.429
19,9202.571
20,9172.286
21,9166.000
22,9191.571
23,9239.143
24,9281.429
25,9320.143
26,9347.143
27,9335.143
28,9312.143
29,9294.857
30,9240.571
31,9168.143
32,9105.286
33,9050.429
34,8911.429
35,8678.000
36,8479.286
37,8428.857
38,8530.571
39,8733.571
40,8838.429
41,8782.286
42,8655.857
43,8648.286
44,8765.714
45,8929.143
46,9054.286
47,9164.143
48,9255.286
49,9324.429
50,9344.429
51,9345.571
52,9328.143
53,9228.571
54,9040.143
55,8749.000
56,8355.571
57,8083.143
58,7965.143
59,7949.429
60,8032.000
61,8143.000
62,8334.429
63,8562.429
64,8677.571
65,8664.714
66,8646.286
67,8705.714
68,8824.571
69,8941.286
70,9009.143
71,9038.000
72,9041.714
73,9000.571
74,8884.143
75,8676.000
76,8353.714
77,7917.857
78,7483.857
79,7268.000
80,7317.714
81,7612.714
82,7981.143
83,8272.000
84,8431.571
85,8505.000
86,8523.857
87,8528.571
88,8613.714
89,8747.000
90,8857.571
91,8913.571
92,8943.429
93,8951.857
94,8948.571
95,8948.857
96,8923.571
97,8866.000
98,8806.286
99,8683.429
100,8489.000
101,8239.429
102,8175.857
103,8316.286
104,8509.000
105,8567.000
106,8411.429
107,8167.714
108,8012.286
109,8043.714
110,8221.286
111,8422.857
112,8533.714
113,8573.857
114,8572.857
115,8595.143
116,8658.000
117,8759.000
118,8847.857
119,8916.286
120,8983.429
121,9012.000
122,8992.286
123,8912.000
124,8739.000
125,8467.857
126,8188.143
127,8026.000
128,7934.000
129,7838.857
130,7822.857
131,7950.857
132,8188.429
133,8507.000
134,8800.143
135,9023.714
136,9116.571
137,9164.286
138,9248.429
139,9254.429
140,9208.143
141,9136.714
142,8999.429
143,8709.429
144,8335.857
145,8163.143
146,8171.714
147,8316.000
148,8350.143
149,8072.571
150,7559.714
151,6987.571
152,6720.857
153,6925.286
154,7510.429
155,8148.714
156,8606.857
157,8897.286
158,9073.000
159,9151.571
160,9211.000
161,9249.857
162,9268.000
163,9257.143
164,9219.571
165,9085.000
166,8856.143
167,8664.714
168,8659.000
169,8808.429
170,9044.571
171,9231.857
172,9315.000
173,9311.429
174,9279.571
175,9315.857
176,9343.429
177,9349.286
178,9330.000
179,9311.000
180,9293.286
181,9233.429
182,9192.857
183,9186.143
184,9161.286
185,9165.000
186,9166.857
187,9057.571
188,8860.286
189,8674.857
190,8646.429
191,8760.429
192,8982.857
193,9237.571
194,9374.286
195,9443.714
196,9459.571
197,9458.714
198,9470.571
199,9482.857
200,9498.857
201,9498.571
202,9454.714
203,9392.571
204,9280.857
205,9166.286
206,9105.000
207,9041.143
208,8970.571
209,8862.429
210,8696.143
211,8495.714
212,8447.714
213,8491.714
214,8653.286
215,8863.143
216,9085.000
217,9316.857
218,9473.429
219,9605.857
220,9640.000
221,9613.000
222,9612.286
223,9585.143
224,9612.714
225,9656.286
226,9709.857
227,9784.000
228,9816.857
229,9810.000
230,9824.857
231,9786.286
232,9738.000
233,9745.857
234,9745.286
235,9735.857
236,9742.286
237,9773.714
238,9775.714
239,9688.286
240,9595.571
241,9467.571
242,9364.286
243,9376.429
244,9510.000
245,9713.000
246,9842.571
247,9910.286
248,9956.857
249,10012.286
250,10047.714
251,10048.143
252,10062.000
253,10059.714
254,10029.714
255,10017.571
256,10000.571
257,9972.143
258,9968.857
259,9950.000
260,9950.714
261,9958.571
262,9932.000
263,9938.571
264,9994.286
265,10066.143
266,10153.857
267,10237.000
268,10240.571
269,10240.571
270,10269.571
271,10298.000
272,10314.857
273,10318.143
274,10341.286
275,10333.000
276,10322.429
277,10347.143
278,10341.429
279,10327.429
280,10251.714
281,10152.571
282,10106.286
283,10154.429
284,10274.286
285,10386.143
286,10465.286
287,10538.286
288,10605.714
289,10655.143
290,10683.857
291,10709.000
292,10693.714
293,10689.000
294,10681.286
295,10658.429
296,10581.857
297,10488.429
298,10374.429
299,10273.571
300,10245.429
301,10233.857
302,10281.571
303,10375.286
304,10393.429
305,10309.286
