Distance_(pixels),Gray_Value
0,9972.429
1,10078.429
2,10263.143
3,10313.571
4,10292.143
5,10281.286
6,10232.000
7,10166.000
8,10118.714
9,10073.714
10,10053.714
11,10026.429
12,9967.714
13,9963.714
14,9989.714
15,9963.571
16,9916.286
17,9889.000
18,9855.571
19,9836.857
20,9829.429
21,9857.857
22,9906.286
23,9944.000
24,10011.714
25,10067.143
26,10063.000
27,10082.429
28,10089.429
29,10055.000
30,10010.571
31,9928.000
32,9839.429
33,9750.000
34,9606.429
35,9406.571
36,9206.143
37,9110.143
38,9191.857
39,9351.571
40,9444.714
41,9399.143
42,9259.286
43,9217.143
44,9282.571
45,9436.857
46,9600.857
47,9657.000
48,9746.286
49,9823.714
50,9794.000
51,9767.286
52,9704.429
53,9609.286
54,9435.286
55,9092.857
56,8670.000
57,8396.429
58,8292.143
59,8294.000
60,8357.571
61,8469.000
62,8679.429
63,8904.714
64,9034.429
65,9058.571
66,9045.000
67,9149.429
68,9307.714
69,9440.857
70,9506.286
71,9567.714
72,9632.286
73,9606.857
74,9481.286
75,9287.571
76,8974.714
77,8532.714
78,8108.429
79,7914.714
80,8011.429
81,8316.571
82,8719.000
83,9071.571
84,9269.857
85,9396.000
86,9485.286
87,9533.857
88,9629.714
89,9738.143
90,9834.857
91,9918.857
92,9943.143
93,9961.714
94,9944.286
95,9861.714
96,9829.000
97,9784.286
98,9666.857
99,9513.143
100,9263.429
101,8968.143
102,8867.000
103,8961.429
104,9112.714
105,9137.000
106,8963.714
107,8656.857
108,8443.429
109,8447.143
110,8626.429
111,8823.571
112,8889.286
113,8904.286
114,8900.714
115,8906.571
116,8956.857
117,9018.714
118,9070.571
119,9132.143
120,9159.143
121,9155.714
122,9125.286
123,9025.714
124,8844.714
125,8594.143
126,8316.714
127,8125.714
128,8036.000
129,7984.571
130,7969.571
131,8051.429
132,8282.714
133,8611.000
134,8871.000
135,9063.857
136,9163.857
137,9230.143
138,9296.714
139,9275.286
140,9230.857
141,9132.429
142,8970.429
143,8703.000
144,8386.714
145,8215.714
146,8201.286
147,8276.714
148,8270.857
149,7963.429
150,7459.000
151,7027.143
152,6899.857
153,7157.286
154,7717.000
155,8359.571
156,8841.857
157,9131.286
158,9316.143
159,9439.714
160,9513.429
161,9572.429
162,9621.000
163,9631.143
164,9575.000
165,9411.714
166,9182.000
167,9044.714
168,9066.286
169,9188.571
170,9421.857
171,9595.000
172,9630.429
173,9628.000
174,9618.857
175,9607.429
176,9599.714
177,9585.714
178,9563.571
179,9509.286
180,9433.857
181,9380.000
182,9343.571
183,9334.714
184,9345.429
185,9341.857
186,9307.286
187,9190.143
188,9012.286
189,8837.000
190,8789.571
191,8933.714
192,9210.000
193,9449.857
194,9618.714
195,9733.857
196,9791.143
197,9805.714
198,9822.857
199,9853.143
200,9854.857
201,9853.143
202,9821.714
203,9753.000
204,9630.429
205,9520.000
206,9435.857
207,9339.000
208,9255.429
209,9129.000
210,8953.714
211,8763.714
212,8665.714
213,8690.857
214,8831.000
215,9059.000
216,9300.571
217,9499.429
218,9685.571
219,9805.571
220,9806.857
221,9774.857
222,9742.000
223,9751.143
224,9793.857
225,9828.286
226,9878.571
227,9942.857
228,9992.571
229,9994.714
230,9980.000
231,9979.429
232,9967.714
233,9959.429
234,9980.286
235,10007.000
236,10048.286
237,10059.857
238,10047.571
239,10052.286
240,9974.857
241,9826.143
242,9713.429
243,9721.143
244,9875.286
245,10078.857
246,10220.857
247,10278.000
248,10293.857
249,10324.143
250,10322.857
251,10288.857
252,10275.143
253,10263.571
254,10228.143
255,10195.429
256,10151.571
257,10084.143
258,10021.000
259,9996.857
260,10002.286
261,9997.571
262,9987.286
263,9967.857
264,9968.000
265,10054.000
266,10184.857
267,10242.714
268,10281.857
269,10324.857
270,10347.286
271,10357.714
272,10391.857
273,10413.143
274,10445.143
275,10485.286
276,10507.714
277,10509.000
278,10536.429
