Distance_(pixels),Gray_Value
0,9187.714
1,9344.286
2,9477.429
3,9514.429
4,9517.143
5,9446.000
6,9412.714
7,9378.143
8,9313.429
9,9242.143
10,9174.143
11,9132.000
12,9113.714
13,9106.429
14,9080.571
15,9025.000
16,8974.429
17,8955.714
18,8909.571
19,8856.286
20,8833.000
21,8812.857
22,8856.571
23,8925.714
24,8948.000
25,8979.429
26,8990.714
27,8987.286
28,8975.857
29,8938.857
30,8905.714
31,8851.429
32,8777.286
33,8689.857
34,8579.714
35,8374.429
36,8182.143
37,8155.857
38,8288.857
39,8445.000
40,8511.286
41,8460.429
42,8341.714
43,8331.143
44,8452.571
45,8577.857
46,8689.571
47,8831.857
48,8964.000
49,8996.857
50,8980.571
51,8983.286
52,8934.857
53,8855.571
54,8680.000
55,8351.714
56,7966.571
57,7724.286
58,7641.286
59,7609.714
60,7673.286
61,7792.000
62,8002.143
63,8206.000
64,8304.571
65,8278.000
66,8268.286
67,8343.571
68,8461.714
69,8539.429
70,8576.857
71,8616.857
72,8640.857
73,8614.571
74,8514.857
75,8307.714
76,7973.143
77,7523.143
78,7115.000
79,6927.714
80,7007.000
81,7316.714
82,7664.286
83,7904.571
84,8051.143
85,8132.143
86,8162.857
87,8201.286
88,8288.571
89,8389.286
90,8470.571
91,8531.857
92,8576.000
93,8574.714
94,8547.429
95,8546.286
96,8541.571
97,8533.286
98,8460.286
99,8315.000
100,8096.286
101,7879.286
102,7869.286
103,8028.429
104,8168.571
105,8192.571
106,8056.429
107,7819.571
108,7718.714
109,7765.143
110,7945.000
111,8122.429
112,8217.286
113,8256.714
114,8278.857
115,8311.000
116,8375.143
117,8454.000
118,8509.000
119,8616.143
120,8671.143
121,8695.000
122,8690.000
123,8592.429
124,8434.571
125,8172.000
126,7903.571
127,7706.571
128,7614.714
129,7555.286
130,7556.286
131,7696.286
132,7934.143
133,8232.571
134,8531.714
135,8744.857
136,8819.857
137,8864.286
138,8917.000
139,8926.429
140,8889.286
141,8842.429
142,8677.857
143,8376.143
144,8055.143
145,7887.143
146,7919.714
147,8045.143
148,8057.286
149,7770.000
150,7178.143
151,6574.429
152,6331.714
153,6578.429
154,7153.857
155,7775.143
156,8216.429
157,8498.429
158,8704.714
159,8794.286
160,8846.571
161,8908.714
162,8941.714
163,8941.571
164,8901.286
165,8754.143
166,8504.857
167,8350.714
168,8374.857
169,8547.286
170,8761.429
171,8911.571
172,8961.714
173,8984.429
174,9009.143
175,8995.714
176,8997.857
177,9024.000
178,9038.857
179,8995.143
180,8942.429
181,8908.714
182,8882.000
183,8873.714
184,8872.000
185,8866.143
186,8822.286
187,8697.143
188,8531.286
189,8345.714
190,8309.571
191,8470.429
192,8738.429
193,8950.714
194,9020.571
195,9095.429
196,9165.429
197,9165.143
198,9169.571
199,9197.571
200,9203.571
201,9208.714
202,9185.286
203,9108.429
204,8998.286
205,8907.857
206,8845.000
207,8763.000
208,8679.143
209,8563.857
210,8403.143
211,8226.857
212,8166.714
213,8221.714
214,8357.714
215,8557.429
216,8759.571
217,8969.571
218,9165.286
219,9255.286
220,9296.000
221,9300.571
222,9285.857
223,9275.857
224,9281.571
225,9324.143
226,9350.571
227,9405.714
228,9472.857
229,9477.857
230,9454.000
231,9397.429
232,9395.286
233,9377.857
234,9390.429
235,9435.143
236,9443.000
237,9452.429
238,9462.143
239,9418.143
240,9318.857
241,9167.286
242,9086.143
243,9180.429
244,9330.000
245,9489.571
246,9640.143
247,9707.000
248,9756.286
249,9794.714
250,9812.286
