Distance_(pixels),Gray_Value
0,8711.571
1,8753.714
2,8751.714
3,8711.571
4,8673.857
5,8649.000
6,8612.143
7,8583.000
8,8548.714
9,8518.000
10,8481.143
11,8460.429
12,8456.571
13,8465.143
14,8447.714
15,8409.857
16,8387.857
17,8381.143
18,8358.429
19,8344.857
20,8369.143
21,8404.143
22,8448.000
23,8472.000
24,8511.571
25,8544.429
26,8550.000
27,8534.286
28,8494.714
29,8464.714
30,8426.000
31,8353.429
32,8233.429
33,8054.143
34,7892.429
35,7834.571
36,7935.000
37,8102.857
38,8145.857
39,8097.143
40,7983.286
41,7975.714
42,8083.286
43,8190.143
44,8294.571
45,8399.571
46,8484.000
47,8511.429
48,8525.143
49,8500.571
50,8398.857
51,8304.143
52,8133.000
53,7847.429
54,7508.857
55,7266.714
56,7149.571
57,7125.429
58,7152.429
59,7202.286
60,7367.286
61,7560.857
62,7650.286
63,7636.000
64,7654.286
65,7734.000
66,7833.857
67,7929.000
68,7970.714
69,7968.286
70,7976.143
71,7974.286
72,7856.714
73,7660.571
74,7390.857
75,7033.714
76,6685.714
77,6497.286
78,6573.571
79,6839.000
80,7161.857
81,7395.429
82,7556.429
83,7643.000
84,7683.571
85,7741.714
86,7812.286
87,7943.571
88,8056.000
89,8109.571
90,8151.571
91,8212.429
92,8235.857
93,8201.714
94,8201.571
95,8176.000
96,8096.857
97,7963.571
98,7759.571
99,7580.571
100,7540.286
101,7630.000
102,7780.143
103,7810.571
104,7666.714
105,7458.429
106,7335.286
107,7391.143
108,7555.000
109,7709.143
110,7794.286
111,7817.143
112,7798.714
113,7790.714
114,7825.286
115,7876.000
116,7938.286
117,8010.429
118,8056.714
119,8080.143
120,8089.571
121,8021.571
122,7911.429
123,7706.143
124,7427.571
125,7189.286
126,7030.286
127,6917.857
128,6934.429
129,7088.286
130,7329.429
131,7680.286
132,7940.857
133,8099.286
134,8208.857
135,8276.714
136,8327.286
137,8345.571
138,8355.143
139,8290.000
140,8155.714
141,7923.429
142,7626.857
143,7505.286
144,7542.429
145,7678.571
146,7733.286
147,7517.143
148,7066.857
149,6523.286
150,6155.286
151,6185.143
152,6593.286
153,7171.714
154,7680.571
155,8029.286
156,8244.571
157,8341.000
158,8400.000
159,8449.286
160,8473.286
161,8487.429
162,8403.857
163,8222.000
164,8010.714
165,7887.714
166,7904.429
167,8038.429
168,8243.429
169,8403.857
170,8453.714
171,8448.143
172,8433.571
173,8441.286
174,8416.286
175,8397.429
176,8407.286
177,8364.286
178,8308.286
179,8287.143
180,8278.000
181,8286.429
182,8267.857
183,8244.714
184,8216.714
185,8126.714
186,7938.714
187,7758.429
188,7733.000
189,7879.000
190,8146.429
191,8359.571
192,8454.571
193,8513.857
194,8548.000
195,8565.429
196,8601.000
197,8625.571
198,8638.286
199,8645.429
200,8614.000
201,8550.286
202,8449.143
203,8365.143
204,8326.143
205,8281.714
206,8206.429
207,8074.000
208,7869.857
209,7696.429
210,7683.714
211,7755.143
212,7873.286
213,8036.429
214,8224.143
215,8394.143
216,8540.429
217,8650.571
218,8694.429
219,8695.857
220,8679.429
221,8637.857
222,8604.286
223,8613.429
224,8631.000
225,8658.429
226,8690.286
227,8707.429
228,8700.571
229,8649.714
230,8641.286
231,8616.571
232,8602.429
233,8631.429
234,8618.857
235,8625.000
236,8655.286
237,8619.857
238,8497.000
239,8364.571
240,8336.714
241,8389.000
242,8517.143
243,8698.143
244,8800.857
245,8856.429
246,8906.857
247,8918.286
248,8947.143
249,8963.286
250,8957.286
251,8944.143
252,8935.857
253,8963.857
254,8942.571
255,8894.429
256,8874.143
257,8857.000
258,8829.714
259,8833.286
260,8815.000
261,8780.857
262,8815.714
263,8920.857
264,9017.429
265,9070.429
266,9100.429
267,9126.000
268,9161.714
269,9193.143
270,9188.429
271,9214.571
272,9254.571
273,9279.571
274,9298.286
275,9314.143
276,9286.857
277,9244.143
278,9153.429
279,9051.429
280,8994.143
281,8988.714
282,9054.143
283,9109.714
284,9164.000
285,9215.857
286,9235.857
287,9247.000
288,9260.571
289,9254.000
290,9228.714
291,9197.714
292,9152.286
293,9103.143
294,9043.857
295,8956.286
296,8872.143
297,8786.857
298,8797.571
299,8824.429
300,8858.286
301,8927.286
302,8963.000
303,8924.857
304,8832.143
305,8710.429
306,8543.000
307,8377.571
308,8299.857
309,8341.857
310,8489.429
311,8700.714
312,8877.143
313,9005.857
314,9057.571
315,9094.143
316,9123.571
317,9100.143
318,9114.000
319,9149.143
320,9153.571
321,9135.429
322,9144.714
323,9143.857
324,9140.429
325,9142.000
326,9139.429
327,9117.571
328,9089.571
329,9082.143
330,9057.429
331,9036.000
332,9031.286
333,8985.714
334,8963.286
335,8940.143
336,8884.286
337,8857.000
338,8859.429
339,8864.143
340,8873.714
341,8901.000
342,8930.571
343,8967.286
344,8965.571
345,8928.429
346,8867.000
347,8817.714
348,8785.143
349,8738.429
350,8715.429
351,8668.857
352,8590.000
353,8524.286
354,8545.429
355,8630.714
356,8731.571
357,8809.000
358,8827.429
359,8813.571
360,8795.429
361,8805.286
362,8799.571
363,8826.714
364,8862.714
365,8869.000
366,8888.571
367,8894.571
368,8878.143
369,8856.286
370,8863.429
371,8862.286
372,8882.571
373,8970.571
374,9035.571
375,9062.143
376,9083.571
377,9100.714
378,9119.714
379,9130.429
380,9127.286
381,9119.571
382,9119.857
383,9103.857
384,9083.571
385,9053.714
386,9029.857
387,9078.571
388,9117.571
389,9151.714
390,9181.000
391,9196.857
392,9221.000
393,9204.286
394,9176.857
395,9183.286
396,9197.429
397,9192.000
398,9128.857
399,8988.857
400,8834.571
401,8777.714
402,8831.857
403,8938.857
404,9078.000
405,9172.857
406,9216.429
407,9248.286
408,9249.714
409,9248.857
410,9252.714
411,9244.857
412,9224.143
413,9213.857
414,9223.857
415,9206.000
416,9179.714
417,9192.143
418,9167.143
419,9126.714
420,9079.571
421,8973.857
422,8785.143
423,8574.571
424,8475.286
425,8485.429
426,8572.000
427,8750.000
428,8897.857
429,8947.143
430,8921.714
431,8849.857
432,8790.286
433,8730.429
434,8684.571
435,8660.000
436,8688.857
437,8706.857
438,8714.571
439,8697.000
