Distance_(pixels),Gray_Value
0,9875.750
1,9983.125
2,10088.750
3,10134.875
4,10137.625
5,10095.875
6,10063.125
7,10022.125
8,9991.500
9,9923.500
10,9863.000
11,9860.875
12,9852.750
13,9832.000
14,9827.000
15,9833.125
16,9845.375
17,9863.250
18,9842.375
19,9810.500
20,9811.750
21,9838.250
22,9898.875
23,9964.750
24,10033.375
25,10090.250
26,10137.000
27,10160.250
28,10157.250
29,10133.625
30,10102.750
31,10071.375
32,10010.375
33,9884.000
34,9692.000
35,9487.875
36,9316.000
37,9310.500
38,9470.250
39,9644.125
40,9679.375
41,9600.375
42,9475.125
43,9453.875
44,9575.000
45,9749.125
46,9864.125
47,9941.375
48,10059.375
49,10104.625
50,10067.250
51,10020.750
52,9954.750
53,9834.625
54,9619.625
55,9291.375
56,8898.750
57,8620.500
58,8500.375
59,8472.000
60,8494.125
61,8615.500
62,8804.000
63,9031.500
64,9148.875
65,9128.125
66,9149.500
67,9241.125
68,9381.625
69,9499.500
70,9540.250
71,9588.375
72,9624.875
73,9586.750
74,9457.000
75,9225.125
76,8866.250
77,8413.875
78,8001.750
79,7820.625
80,7983.250
81,8378.000
82,8754.125
83,9017.500
84,9162.750
85,9243.375
86,9294.875
87,9383.000
88,9540.250
89,9702.375
90,9860.875
91,9955.500
92,9984.875
93,10018.500
94,10049.875
95,10029.875
96,10038.375
97,10041.125
98,9948.500
99,9773.875
100,9481.375
101,9258.625
102,9309.125
103,9477.500
104,9648.500
105,9675.250
106,9448.750
107,9128.250
108,9024.375
109,9131.500
110,9338.750
111,9563.500
112,9633.750
113,9623.250
114,9596.250
115,9585.125
116,9601.500
117,9661.500
118,9785.125
119,9872.750
120,9933.000
121,9972.625
122,9957.375
123,9901.625
124,9713.750
125,9422.875
126,9104.500
127,8807.750
128,8611.250
129,8495.750
130,8518.625
131,8760.250
132,9114.250
133,9495.000
134,9805.250
135,9997.125
136,10110.875
137,10204.000
138,10246.375
139,10255.500
140,10205.875
141,10100.125
142,9894.500
143,9574.000
144,9258.875
145,9127.250
146,9168.500
147,9315.500
148,9339.500
149,9057.250
150,8497.250
151,7836.500
152,7423.000
153,7457.625
154,7904.500
155,8566.875
156,9165.750
157,9569.750
158,9838.875
159,9985.500
160,10092.125
161,10139.500
162,10128.750
163,10090.875
164,10002.000
165,9799.750
166,9531.875
167,9413.125
168,9440.875
169,9573.375
170,9796.500
171,9911.500
172,9905.375
173,9869.500
174,9813.250
175,9760.625
176,9744.625
177,9708.125
178,9657.125
179,9608.125
180,9534.875
181,9489.125
182,9418.125
183,9374.125
184,9341.875
185,9299.500
186,9245.250
187,9098.500
188,8896.375
189,8751.750
190,8748.500
191,8911.375
192,9183.500
193,9392.500
194,9487.250
195,9543.250
196,9589.875
197,9614.750
198,9629.000
199,9648.750
200,9641.625
201,9620.625
202,9580.125
203,9513.625
204,9395.250
205,9286.250
206,9212.750
207,9108.000
208,8996.000
209,8829.250
210,8600.125
211,8435.625
212,8415.625
213,8502.625
214,8636.500
215,8782.375
216,8951.500
217,9147.625
218,9289.000
219,9376.750
220,9410.625
221,9403.625
222,9367.625
223,9323.125
224,9327.625
225,9334.750
226,9355.250
227,9369.750
228,9377.875
229,9382.375
230,9377.750
231,9342.000
232,9273.750
233,9258.125
234,9276.125
235,9290.125
236,9268.375
237,9251.375
238,9237.875
239,9183.750
240,9101.875
241,8992.625
242,8954.375
243,9040.375
244,9208.875
245,9401.750
246,9534.000
247,9576.500
248,9618.375
249,9671.125
250,9704.000
251,9716.250
252,9725.625
253,9750.750
254,9751.750
255,9738.875
256,9717.625
257,9692.000
258,9679.500
