Distance_(pixels),Gray_Value
0,8797.000
1,8906.875
2,9036.500
3,9087.625
4,9108.125
5,9085.250
6,9040.875
7,9020.625
8,9022.500
9,9012.375
10,8976.875
11,8970.125
12,8968.125
13,8979.250
14,8988.125
15,8996.375
16,9037.875
17,9011.750
18,9016.500
19,9007.000
20,8981.750
21,9004.375
22,9062.500
23,9125.500
24,9156.375
25,9174.500
26,9180.500
27,9169.750
28,9168.500
29,9129.625
30,9068.750
31,9018.250
32,8951.625
33,8839.750
34,8658.625
35,8433.375
36,8265.625
37,8257.500
38,8370.625
39,8505.500
40,8557.375
41,8475.125
42,8380.625
43,8363.000
44,8445.875
45,8605.875
46,8739.125
47,8828.250
48,8909.875
49,8973.375
50,8988.875
51,8907.750
52,8827.875
53,8733.000
54,8547.250
55,8241.500
56,7883.250
57,7646.000
58,7523.500
59,7469.750
60,7475.750
61,7570.875
62,7767.500
63,7971.625
64,8082.875
65,8076.375
66,8071.875
67,8157.250
68,8295.000
69,8403.625
70,8446.875
71,8487.000
72,8518.750
73,8513.375
74,8431.750
75,8225.000
76,7911.000
77,7521.375
78,7175.875
79,7045.500
80,7201.500
81,7522.875
82,7859.125
83,8127.000
84,8267.625
85,8339.625
86,8412.625
87,8494.000
88,8605.500
89,8743.875
90,8872.000
91,8936.125
92,8972.875
93,8990.375
94,8983.875
95,8976.875
96,8946.750
97,8921.375
98,8841.750
99,8671.250
100,8452.000
101,8223.375
102,8214.000
103,8366.500
104,8534.625
105,8555.250
106,8368.375
107,8094.750
108,7983.750
109,8097.375
110,8304.500
111,8486.750
112,8552.875
113,8559.625
114,8548.125
115,8513.875
116,8507.375
117,8580.125
118,8680.125
119,8764.875
120,8858.250
121,8909.250
122,8877.500
123,8824.000
124,8720.000
125,8498.125
126,8225.500
127,7953.125
128,7720.250
129,7580.625
130,7596.250
131,7812.750
132,8135.125
133,8517.875
134,8808.375
135,8970.625
136,9070.125
137,9134.875
138,9160.750
139,9176.250
140,9155.000
141,9058.250
142,8869.250
143,8590.250
144,8327.500
145,8207.750
146,8240.250
147,8388.875
148,8413.000
149,8118.750
150,7608.750
151,7038.625
152,6628.625
153,6543.625
154,6851.625
155,7380.250
156,7921.875
157,8322.750
158,8562.250
159,8732.750
160,8816.250
161,8850.375
162,8851.500
163,8815.125
164,8738.000
165,8555.625
166,8323.625
167,8202.875
168,8217.125
169,8320.625
170,8500.500
171,8639.375
172,8677.375
173,8636.875
174,8570.625
175,8523.875
176,8485.875
177,8469.000
178,8463.875
179,8407.125
180,8353.125
181,8325.000
182,8293.500
183,8282.375
184,8241.125
185,8171.125
186,8127.000
187,8017.750
188,7857.375
189,7730.000
190,7752.125
191,7904.625
192,8101.125
193,8284.125
194,8393.500
195,8469.750
196,8503.125
197,8509.500
198,8528.250
199,8539.750
200,8539.125
201,8531.125
202,8487.625
203,8413.875
204,8313.125
205,8194.375
206,8112.875
207,8045.250
208,7923.125
209,7750.250
210,7539.750
211,7376.750
212,7348.250
213,7408.500
214,7537.125
215,7655.125
216,7782.750
217,7929.000
218,8055.125
219,8182.750
220,8232.875
221,8206.000
222,8192.750
223,8165.250
224,8165.375
225,8169.375
226,8172.625
227,8222.000
228,8261.000
229,8288.750
230,8299.375
231,8289.250
232,8293.125
233,8276.125
234,8267.375
235,8294.250
236,8286.125
237,8271.125
238,8272.125
239,8227.625
240,8151.000
241,8071.625
242,8064.000
243,8151.875
244,8286.625
245,8456.500
246,8585.500
247,8650.875
248,8694.000
249,8718.000
250,8743.625
251,8768.375
252,8781.250
253,8778.500
254,8765.625
255,8733.750
256,8697.500
257,8707.875
258,8708.000
259,8661.125
260,8644.375
261,8640.500
262,8599.500
263,8579.250
264,8642.125
265,8739.125
266,8846.750
267,8920.875
268,8935.125
269,8957.875
270,8984.875
271,8995.000
272,8987.750
273,9000.125
274,9023.375
275,9025.125
276,8998.000
277,8976.250
278,8948.875
279,8873.375
280,8782.750
281,8671.000
282,8593.000
283,8551.375
284,8569.250
285,8662.250
286,8752.000
287,8831.125
288,8877.375
