Velocidades_Air,Velocidades_Ritz
-1027.7807791931873,-975.2746975272167
-397.88719523820527,-350.2328099881272
-459.9329349293397,-440.8918498181771
-633.7382658805037,-576.6486504144048
-416.1810345438005,-416.1810345438005
-932.9167248540813,-894.9173183412265
-865.5484945698619,-851.3084418012266
-374.58403152453604,-398.3092015428218
-431.84493425767795,-412.878812092528
192.6825139203312,-443.97292589385756
-491.4484850036354,-995.8787602271328
-948.4376673193326,-312.6090891692996
